Nome,Level,tipo,peso,ataque,defesa,hp
Lança Normal,2,Espadachim,10.0,100,0,20
Peixeira Curta,2,Espadachim,10.0,50,0,100
Arco de fogo,2,Arqueiro,10.0,200,0,0
Incarnação Animal,3,Espadachim,10.0,400,100,200
Cetro de Bronze,2,Mago,10.0,100,100,100
Cipó,2,Espadachim,10.0,500,1000,300
pocao do ceu,2,x,1.0,0,0,150
pocao de tempestade,1,x,1.1,0,0,151
po de invocacao,10,x,1.2,0,0,152
Espinho Venenoso,2,x,1.3,50,100,70
Cordao de luz,2,x,1.4,100,40,20
Olhos de onca,2,x,1.5,20,100,60
Armadura de luz,2,x,1.6,10,150,100
pocao das trevas,6,x,2.1,100,200,140
olhos das trevas,6,x,2.2,200,80,40
Antropofagia,6,x,2.3,20,100,60
Armadura das trevas,6,x,2.4,10,150,100
Elmo das trevas,6,x,2.5,60,120,80
Elmo Celestial,3,x,1.1,110,50,40
Ajuda Celestial,3,x,1.2,30,150,20
Animal Celestial,3,x,1.3,40,100,130
Armadura Celestial,3,x,1.4,60,140,99
Cetro de luz,2,Mago,1.2,120,100,100
Cetro das trevas,6,Mago,1.1,230,200,300
Cetro Celestial,3,Mago,1.3,300,205,500
Arco de luz,2,Arqueiro,1.2,120,100,100
Arco de trevas,6,Arqueiro,1.1,230,200,300
Arco Celestial,3,Arqueiro,1.3,300,205,500
Peixeira de luz,2,Espadachim,1.2,120,100,100
Peixeira das trevas,6,Espadachim,1.1,230,200,300
Peixeira Celestial,3,Espadachim,1.3,300,205,500
